PlayerID,Name,Team,Position,MatchesPlayed,Goals,Assists,ShotsOnTarget,PassAccuracy,MinutesPlayed
145,Player_145,Team D,Midfielder,22,0,0,42,82.4,1584
146,Player_146,Team D,Midfielder,35,12,9,64,90.4,3150
147,Player_147,Team D,Defender,23,0,2,6,75.9,1679
148,Player_148,Team C,Forward,36,4,6,9,78.0,2844
149,Player_149,Team B,Midfielder,33,10,0,49,77.1,2541
150,Player_150,Team D,Midfielder,28,6,1,62,83.3,2464
151,Player_151,Team A,Defender,16,0,2,18,64.9,1040
152,Player_152,Team A,Midfielder,12,0,0,35,61.0,1092
153,Player_153,Team A,Forward,24,29,8,27,70.8,2112
154,Player_154,Team A,Defender,32,0,1,9,84.7,1952
155,Player_155,Team C,Defender,23,0,4,9,67.1,1886
156,Player_156,Team A,Forward,20,3,8,36,83.6,1560
157,Player_157,Team D,Midfielder,24,5,6,57,93.9,2160
158,Player_158,Team E,Midfielder,37,1,8,34,63.3,2368
159,Player_159,Team A,Midfielder,22,9,5,43,83.5,1716
160,Player_160,Team C,Midfielder,27,4,5,35,75.5,2511
161,Player_161,Team C,Midfielder,35,10,3,6,90.4,2415
162,Player_162,Team A,Forward,15,9,9,16,66.2,1260
163,Player_163,Team E,Forward,12,0,9,43,84.2,732
164,Player_164,Team A,Goalkeeper,28,0,4,1,89.3,1960
165,Player_165,Team C,Defender,24,0,4,12,93.1,2160
166,Player_166,Team B,Midfielder,34,5,1,50,83.9,2516
167,Player_167,Team D,Goalkeeper,32,0,4,16,77.4,2176
168,Player_168,Team C,Defender,14,0,2,8,81.6,1148
169,Player_169,Team A,Midfielder,37,5,5,21,90.4,2886
170,Player_170,Team D,Midfielder,19,12,1,64,80.0,1292
171,Player_171,Team A,Forward,16,14,4,68,61.1,1504
172,Player_172,Team A,Forward,34,3,9,39,92.6,2720
173,Player_173,Team B,Defender,26,0,3,15,84.1,1768
174,Player_174,Team D,Midfielder,16,12,8,74,83.7,1392
175,Player_175,Team D,Forward,31,23,5,34,67.5,2046
176,Player_176,Team B,Goalkeeper,35,0,1,6,83.1,2625
177,Player_177,Team C,Defender,21,0,0,9,73.8,1575
178,Player_178,Team A,Forward,34,19,4,67,82.8,3128
179,Player_179,Team E,Goalkeeper,26,0,0,14,63.7,1638
180,Player_180,Team A,Goalkeeper,22,0,1,4,83.0,1386
181,Player_181,Team A,Goalkeeper,29,0,3,3,95.0,2204
182,Player_182,Team C,Forward,34,23,6,24,61.7,2992
183,Player_183,Team A,Defender,13,0,4,3,94.2,1222
184,Player_184,Team B,Midfielder,19,14,9,72,74.2,1254
185,Player_185,Team B,Defender,12,0,4,16,90.5,1032
186,Player_186,Team D,Goalkeeper,18,0,2,11,87.4,1566
187,Player_187,Team E,Defender,22,0,0,16,79.8,1782
188,Player_188,Team A,Defender,27,0,2,9,85.8,1971
189,Player_189,Team A,Defender,24,0,1,0,90.7,1584
190,Player_190,Team C,Defender,13,0,3,17,74.1,1053
191,Player_191,Team B,Midfielder,24,12,8,54,71.4,1536
192,Player_192,Team E,Forward,31,7,4,18,83.4,1891
193,Player_193,Team D,Midfielder,11,4,6,68,88.3,946
194,Player_194,Team B,Defender,24,0,1,14,86.7,1920
195,Player_195,Team D,Forward,17,28,0,33,87.9,1258
196,Player_196,Team C,Midfielder,17,14,9,40,75.2,1360
197,Player_197,Team C,Forward,26,3,4,56,88.6,1794
198,Player_198,Team A,Midfielder,21,11,9,11,64.2,1722
199,Player_199,Team E,Defender,28,0,1,10,79.1,1792
200,Player_200,Team D,Defender,19,0,3,0,60.2,1140
201,Player_201,Team B,Forward,18,12,5,10,71.4,1296
202,Player_202,Team C,Goalkeeper,14,0,2,14,72.8,1120
203,Player_203,Team A,Midfielder,15,1,0,36,73.9,1275
204,Player_204,Team A,Midfielder,29,10,2,55,84.3,2320
205,Player_205,Team D,Defender,35,0,4,10,73.6,2695
206,Player_206,Team C,Midfielder,11,14,3,62,75.7,1001
207,Player_207,Team E,Midfielder,36,2,2,30,68.3,2736
208,Player_208,Team C,Defender,33,0,1,1,73.1,3102
209,Player_209,Team D,Forward,36,18,4,50,68.0,2520
210,Player_210,Team D,Midfielder,22,3,7,33,62.6,1760
211,Player_211,Team C,Midfielder,15,3,3,8,81.1,1275
212,Player_212,Team D,Midfielder,14,9,0,17,83.4,882
213,Player_213,Team C,Midfielder,34,10,6,43,81.7,3162
214,Player_214,Team B,Midfielder,10,10,7,19,76.2,770
215,Player_215,Team C,Defender,30,0,2,10,73.3,2820
216,Player_216,Team C,Defender,31,0,1,19,90.2,2728
217,Player_217,Team D,Defender,30,0,4,1,78.2,2640
218,Player_218,Team D,Defender,15,0,0,14,76.8,1200
219,Player_219,Team A,Defender,15,0,1,13,60.9,1080
220,Player_220,Team A,Forward,32,4,3,26,71.9,2432
221,Player_221,Team B,Midfielder,25,3,3,79,73.3,1700
222,Player_222,Team A,Midfielder,13,10,2,31,74.0,780
223,Player_223,Team C,Forward,20,29,2,71,80.3,1220
224,Player_224,Team D,Midfielder,33,9,3,60,78.7,2904
225,Player_225,Team A,Midfielder,32,7,0,25,81.3,2944
226,Player_226,Team A,Defender,18,0,2,14,86.8,1242
227,Player_227,Team B,Goalkeeper,32,0,4,15,88.5,2560
228,Player_228,Team B,Midfielder,12,5,1,63,85.1,1044
229,Player_229,Team C,Midfielder,28,5,8,10,93.4,1960
230,Player_230,Team D,Forward,17,7,9,23,60.6,1581
231,Player_231,Team B,Goalkeeper,14,0,1,4,66.9,938
232,Player_232,Team A,Goalkeeper,13,0,4,2,60.3,1053
233,Player_233,Team D,Midfielder,33,6,8,5,82.7,2211
234,Player_234,Team D,Defender,15,0,0,5,91.4,1110
235,Player_235,Team A,Forward,11,14,7,19,68.5,836
236,Player_236,Team B,Forward,29,25,0,38,92.4,2378
237,Player_237,Team A,Forward,37,13,0,65,62.1,3071
238,Player_238,Team D,Midfielder,20,10,8,39,92.7,1560
239,Player_239,Team E,Goalkeeper,13,0,4,16,72.3,832
240,Player_240,Team E,Defender,24,0,2,11,63.5,2184
241,Player_241,Team C,Midfielder,15,11,7,22,77.0,900
242,Player_242,Team A,Defender,31,0,1,14,69.0,2542
243,Player_243,Team A,Goalkeeper,26,0,0,11,70.0,1742
244,Player_244,Team C,Goalkeeper,33,0,2,15,70.8,2376
245,Player_245,Team C,Forward,15,25,2,31,88.1,1005
246,Player_246,Team C,Midfielder,28,12,1,76,78.9,2296
247,Player_247,Team D,Forward,34,7,4,64,70.9,2040
248,Player_248,Team A,Midfielder,11,13,2,50,81.4,913
249,Player_249,Team D,Forward,24,17,5,21,85.1,2256
250,Player_250,Team C,Defender,20,0,1,7,69.5,1660
251,Player_251,Team A,Midfielder,17,8,2,31,74.5,1292
252,Player_252,Team D,Forward,35,0,4,50,64.3,2240
253,Player_253,Team D,Midfielder,28,14,0,54,66.3,2212
254,Player_254,Team C,Midfielder,22,7,0,75,83.8,1760
255,Player_255,Team A,Midfielder,21,11,9,7,66.4,1890
256,Player_256,Team C,Midfielder,14,10,8,68,78.4,980
257,Player_257,Team A,Forward,15,11,6,48,84.8,1110
258,Player_258,Team E,Midfielder,35,11,0,57,63.7,2730
259,Player_259,Team B,Midfielder,31,3,7,28,79.9,2046
260,Player_260,Team B,Defender,13,0,2,2,69.0,1131
261,Player_261,Team B,Midfielder,28,3,7,24,93.7,1792
262,Player_262,Team C,Forward,29,4,4,50,76.9,1856
263,Player_263,Team E,Forward,10,23,0,19,88.2,890
264,Player_264,Team A,Goalkeeper,29,0,4,13,79.3,2639
265,Player_265,Team D,Midfielder,26,4,5,75,61.5,1742
266,Player_266,Team A,Midfielder,21,7,5,21,82.2,1449
267,Player_267,Team D,Goalkeeper,24,0,0,11,93.3,2184
268,Player_268,Team A,Forward,10,9,1,13,81.1,870
269,Player_269,Team E,Defender,35,0,0,5,88.7,2660
270,Player_270,Team D,Midfielder,23,0,9,52,90.9,2070
271,Player_271,Team C,Forward,15,27,8,64,68.0,1005
272,Player_272,Team A,Midfielder,14,14,9,67,67.4,1176
273,Player_273,Team A,Defender,20,0,1,1,81.4,1360
274,Player_274,Team D,Midfielder,13,9,6,76,74.4,793
275,Player_275,Team C,Goalkeeper,22,0,0,10,89.4,1628
276,Player_276,Team C,Midfielder,20,8,6,68,91.5,1240
277,Player_277,Team E,Defender,12,0,1,12,72.4,756
278,Player_278,Team C,Midfielder,10,5,4,76,68.3,730
279,Player_279,Team C,Defender,15,0,1,17,87.3,1260
280,Player_280,Team C,Midfielder,27,2,6,68,69.6,1863
281,Player_281,Team B,Forward,33,28,4,42,88.8,2640
282,Player_282,Team E,Forward,19,13,6,36,74.8,1349
283,Player_283,Team A,Forward,14,7,8,15,83.4,1204
284,Player_284,Team D,Forward,32,8,2,49,63.3,1952
285,Player_285,Team A,Forward,19,21,7,37,81.8,1368
286,Player_286,Team E,Defender,21,0,1,5,75.8,1911
287,Player_287,Team D,Midfielder,11,10,6,45,80.5,990
288,Player_288,Team E,Defender,22,0,4,7,65.9,1650
289,Player_289,Team C,Goalkeeper,17,0,1,10,85.8,1547
290,Player_290,Team D,Midfielder,11,6,3,55,90.2,1001
291,Player_291,Team C,Defender,29,0,2,8,67.6,2697
292,Player_292,Team A,Defender,10,0,1,16,63.4,700
293,Player_293,Team A,Midfielder,14,0,9,50,60.8,966
294,Player_294,Team D,Forward,18,13,6,36,82.5,1332
295,Player_295,Team D,Forward,26,4,0,58,81.2,1976
296,Player_296,Team E,Midfielder,18,4,7,24,79.1,1386
297,Player_297,Team E,Midfielder,20,9,2,37,68.1,1360
298,Player_298,Team C,Forward,24,13,1,78,73.7,2016
299,Player_299,Team D,Defender,33,0,2,7,80.8,2409
300,Player_300,Team A,Defender,15,0,4,17,77.4,1260
